time	TRIlong	TRIlat	TRImed	BIClong	BICshort	BRA	r_shoulder_elev_reserve	r_elbow_flex_reserve
      0.33043277	      0.02000000	      0.03862219	      0.04003923	      0.22668930	      0.06082175	      0.02000000	      0.03025372	     -0.00322259
      0.33086553	      0.02000000	      0.03862219	      0.04003923	      0.22668930	      0.06082175	      0.02000000	      0.03025191	     -0.00320913
      0.33302936	      0.02000000	      0.03862219	      0.04003923	      0.22668930	      0.06082175	      0.02000000	      0.03024282	     -0.00314181
      0.33519319	      0.02000000	      0.03862219	      0.04003923	      0.22668930	      0.06082175	      0.02000000	      0.03023373	     -0.00307448
      0.33923727	      0.02000000	      0.03862219	      0.04003923	      0.22668930	      0.06082175	      0.02000000	      0.03021674	     -0.00294866
      0.34000000	      0.02000000	      0.03862219	      0.04003923	      0.22668930	      0.06082175	      0.02000000	      0.03021354	     -0.00292493
      0.34037835	      0.02000000	      0.04050467	      0.04078475	      0.23595467	      0.07056906	      0.02000000	      0.03025358	     -0.00294125
      0.34075671	      0.02000000	      0.04050467	      0.04078475	      0.23595467	      0.07056906	      0.02000000	      0.03029362	     -0.00295758
      0.34264847	      0.02000000	      0.04050467	      0.04078475	      0.23595467	      0.07056906	      0.02000000	      0.03049384	     -0.00303923
      0.34516330	      0.02000000	      0.04050467	      0.04078475	      0.23595467	      0.07056906	      0.02000000	      0.03075999	     -0.00314776
      0.34884467	      0.02000000	      0.04050467	      0.04078475	      0.23595467	      0.07056906	      0.02000000	      0.03114961	     -0.00330663
      0.35000000	      0.02000000	      0.04050467	      0.04078475	      0.23595467	      0.07056906	      0.02000000	      0.03127188	     -0.00335649
      0.35033848	      0.02000000	      0.04186585	      0.04182522	      0.24748684	      0.07154240	      0.02200000	      0.03128115	     -0.00334407
      0.35067696	      0.02000000	      0.04186585	      0.04182522	      0.24748684	      0.07154240	      0.02200000	      0.03129042	     -0.00333166
      0.35236936	      0.02000000	      0.04186585	      0.04182522	      0.24748684	      0.07154240	      0.02200000	      0.03133676	     -0.00326957
      0.35494061	      0.02000000	      0.04186585	      0.04182522	      0.24748684	      0.07154240	      0.02200000	      0.03140716	     -0.00317523
      0.35861227	      0.02000000	      0.04186585	      0.04182522	      0.24748684	      0.07154240	      0.02200000	      0.03150769	     -0.00304053
      0.36000000	      0.02000000	      0.04186585	      0.04182522	      0.24748684	      0.07154240	      0.02200000	      0.03154569	     -0.00298962
      0.36041160	      0.02000000	      0.04377256	      0.04358531	      0.25692829	      0.07340969	      0.02000000	      0.03157751	     -0.00299492
      0.36082319	      0.02000000	      0.04377256	      0.04358531	      0.25692829	      0.07340969	      0.02000000	      0.03160933	     -0.00300021
      0.36288118	      0.02000000	      0.04377256	      0.04358531	      0.25692829	      0.07340969	      0.02000000	      0.03176844	     -0.00302669
      0.36493916	      0.02000000	      0.04377256	      0.04358531	      0.25692829	      0.07340969	      0.02000000	      0.03192755	     -0.00305318
      0.36874227	      0.02000000	      0.04377256	      0.04358531	      0.25692829	      0.07340969	      0.02000000	      0.03222158	     -0.00310212
      0.37000000	      0.02000000	      0.04377256	      0.04358531	      0.25692829	      0.07340969	      0.02000000	      0.03231881	     -0.00311830
      0.37037581	      0.02000000	      0.04415196	      0.04481548	      0.26779302	      0.07247892	      0.02000000	      0.03234865	     -0.00312342
      0.37075162	      0.02000000	      0.04415196	      0.04481548	      0.26779302	      0.07247892	      0.02000000	      0.03237849	     -0.00312855
      0.37263066	      0.02000000	      0.04415196	      0.04481548	      0.26779302	      0.07247892	      0.02000000	      0.03252767	     -0.00315416
      0.37540953	      0.02000000	      0.04415196	      0.04481548	      0.26779302	      0.07247892	      0.02000000	      0.03274830	     -0.00319204
      0.37945372	      0.02000000	      0.04415196	      0.04481548	      0.26779302	      0.07247892	      0.02000000	      0.03306939	     -0.00324716
      0.38000000	      0.02000000	      0.04415196	      0.04481548	      0.26779302	      0.07247892	      0.02000000	      0.03311276	     -0.00325461
      0.38038122	      0.02000000	      0.04663440	      0.04758624	      0.27809850	      0.07256428	      0.02000000	      0.03314552	     -0.00326110
      0.38076245	      0.02000000	      0.04663440	      0.04758624	      0.27809850	      0.07256428	      0.02000000	      0.03317828	     -0.00326759
      0.38266857	      0.02000000	      0.04663440	      0.04758624	      0.27809850	      0.07256428	      0.02000000	      0.03334208	     -0.00330006
      0.38457469	      0.02000000	      0.04663440	      0.04758624	      0.27809850	      0.07256428	      0.02000000	      0.03350588	     -0.00333252
      0.38792902	      0.02000000	      0.04663440	      0.04758624	      0.27809850	      0.07256428	      0.02000000	      0.03379412	     -0.00338965
      0.39000000	      0.02000000	      0.04663440	      0.04758624	      0.27809850	      0.07256428	      0.02000000	      0.03397209	     -0.00342493
      0.39034840	      0.02000000	      0.04898953	      0.04863565	      0.28926445	      0.07452841	      0.02000000	      0.03400263	     -0.00343100
      0.39069680	      0.02000000	      0.04898953	      0.04863565	      0.28926445	      0.07452841	      0.02000000	      0.03403317	     -0.00343707
      0.39243881	      0.02000000	      0.04898953	      0.04863565	      0.28926445	      0.07452841	      0.02000000	      0.03418586	     -0.00346743
      0.39485227	      0.02000000	      0.04898953	      0.04863565	      0.28926445	      0.07452841	      0.02000000	      0.03439741	     -0.00350949
      0.39817333	      0.02000000	      0.04898953	      0.04863565	      0.28926445	      0.07452841	      0.02000000	      0.03468852	     -0.00356737
      0.40000000	      0.02000000	      0.04898953	      0.04863565	      0.28926445	      0.07452841	      0.02000000	      0.03484863	     -0.00359920
      0.40036263	      0.02000000	      0.04944462	      0.05148160	      0.30004642	      0.06805438	      0.02000000	      0.03488204	     -0.00360539
      0.40072526	      0.02000000	      0.04944462	      0.05148160	      0.30004642	      0.06805438	      0.02000000	      0.03491544	     -0.00361159
      0.40253841	      0.02000000	      0.04944462	      0.05148160	      0.30004642	      0.06805438	      0.02000000	      0.03508247	     -0.00364256
      0.40493726	      0.02000000	      0.04944462	      0.05148160	      0.30004642	      0.06805438	      0.02000000	      0.03530346	     -0.00368353
      0.40838064	      0.02000000	      0.04944462	      0.05148160	      0.30004642	      0.06805438	      0.02000000	      0.03562067	     -0.00374235
      0.41000000	      0.02000000	      0.04944462	      0.05148160	      0.30004642	      0.06805438	      0.02000000	      0.03576985	     -0.00377001
      0.41034686	      0.02000000	      0.05265323	      0.05325812	      0.31094371	      0.07248990	      0.02000000	      0.03580174	     -0.00377669
      0.41069371	      0.02000000	      0.05265323	      0.05325812	      0.31094371	      0.07248990	      0.02000000	      0.03583363	     -0.00378337
      0.41242799	      0.02000000	      0.05265323	      0.05325812	      0.31094371	      0.07248990	      0.02000000	      0.03599308	     -0.00381677
      0.41466016	      0.02000000	      0.05265323	      0.05325812	      0.31094371	      0.07248990	      0.02000000	      0.03619831	     -0.00385976
      0.41776998	      0.02000000	      0.05265323	      0.05325812	      0.31094371	      0.07248990	      0.02000000	      0.03648422	     -0.00391965
      0.42000000	      0.02000000	      0.05265323	      0.05325812	      0.31094371	      0.07248990	      0.02000000	      0.03668925	     -0.00396259
      0.42038539	      0.02000000	      0.05403849	      0.05486915	      0.32179230	      0.06624586	      0.02000000	      0.03672715	     -0.00396965
      0.42077079	      0.02000000	      0.05403849	      0.05486915	      0.32179230	      0.06624586	      0.02000000	      0.03676504	     -0.00397671
      0.42269775	      0.02000000	      0.05403849	      0.05486915	      0.32179230	      0.06624586	      0.02000000	      0.03695451	     -0.00401198
      0.42515824	      0.02000000	      0.05403849	      0.05486915	      0.32179230	      0.06624586	      0.02000000	      0.03719645	     -0.00405703
      0.42877530	      0.02000000	      0.05403849	      0.05486915	      0.32179230	      0.06624586	      0.02000000	      0.03755210	     -0.00412325
      0.43000000	      0.02000000	      0.05403849	      0.05486915	      0.32179230	      0.06624586	      0.02000000	      0.03767253	     -0.00414567
      0.43032991	      0.02000000	      0.05736556	      0.05847780	      0.33248863	      0.06556253	      0.02000000	      0.03770661	     -0.00415273
      0.43065983	      0.02000000	      0.05736556	      0.05847780	      0.33248863	      0.06556253	      0.02000000	      0.03774070	     -0.00415980
      0.43230939	      0.02000000	      0.05736556	      0.05847780	      0.33248863	      0.06556253	      0.02000000	      0.03791113	     -0.00419510
      0.43441554	      0.02000000	      0.05736556	      0.05847780	      0.33248863	      0.06556253	      0.02000000	      0.03812874	     -0.00424018
